run,trial_idx,phase,wall_ts,a_state,b_state,b_direction
1,0,prompt,1787162118.289987,rest,attention,left
1,1,prompt,1787162143.426284,rest,rest,right
1,2,prompt,1787162168.757892,rest,attention,right
1,3,prompt,1787162194.438035,rest,rest,left
1,4,prompt,1787162220.022108,rest,attention,left
1,5,prompt,1787162245.438066,rest,rest,right
1,6,prompt,1787162270.575777,rest,attention,right
1,7,prompt,1787162296.225593,rest,rest,left
1,8,prompt,1787162321.488639,rest,attention,left
1,9,prompt,1787162346.774751,rest,rest,right
1,10,prompt,1787162371.944976,rest,attention,right
1,11,prompt,1787162397.232581,rest,rest,left
1,12,prompt,1787162422.825326,rest,attention,left
1,13,prompt,1787162448.035983,rest,rest,right
1,14,prompt,1787162473.225263,rest,attention,right
1,15,prompt,1787162498.871263,rest,rest,left
1,16,prompt,1787162523.974485,rest,attention,left
1,17,prompt,1787162549.343007,rest,rest,right
1,18,prompt,1787162574.824286,rest,attention,left
1,19,prompt,1787162600.121619,rest,rest,right
