run,trial_idx,phase,wall_ts,a_state,b_state,b_direction
1,0,prompt,1787165073.781381,attention,rest,left
1,1,prompt,1787165099.019627,rest,rest,left
1,2,prompt,1787165124.388829,attention,rest,left
1,3,prompt,1787165149.718638,rest,rest,left
1,4,prompt,1787165175.167154,attention,rest,left
1,5,prompt,1787165200.449886,rest,rest,left
1,6,prompt,1787165225.669497,attention,rest,left
1,7,prompt,1787165251.318818,rest,rest,left
1,8,prompt,1787165276.50858,attention,rest,left
1,9,prompt,1787165301.768523,rest,rest,left
1,10,prompt,1787165327.268865,attention,rest,left
1,11,prompt,1787165352.546661,rest,rest,left
1,12,prompt,1787165378.186423,attention,rest,left
1,13,prompt,1787165403.805166,rest,rest,left
1,14,prompt,1787165429.519484,attention,rest,left
1,15,prompt,1787165455.068684,rest,rest,left
1,16,prompt,1787165480.26117,attention,rest,left
1,17,prompt,1787165505.615954,rest,rest,left
1,18,prompt,1787165531.151455,attention,rest,left
1,19,prompt,1787165556.66993,rest,rest,left
