run,trial_idx,phase,wall_ts,a_state,b_state,b_direction
1,0,prompt,1787215015.789112,rest,attention,left
1,1,prompt,1787215040.793623,rest,rest,right
1,2,prompt,1787215068.19586,rest,attention,right
1,3,prompt,1787215093.399058,rest,rest,left
1,4,prompt,1787215118.910427,rest,attention,left
1,5,prompt,1787215144.639019,rest,rest,right
1,6,prompt,1787215170.132674,rest,attention,right
1,7,prompt,1787215195.188652,rest,rest,left
1,8,prompt,1787215220.957258,rest,attention,left
1,9,prompt,1787215246.689683,rest,rest,right
1,10,prompt,1787215272.156389,rest,attention,right
1,11,prompt,1787215297.297083,rest,rest,left
1,12,prompt,1787215323.674246,rest,attention,left
1,13,prompt,1787215348.954809,rest,rest,right
1,14,prompt,1787215374.130536,rest,attention,right
1,15,prompt,1787215399.54653,rest,rest,left
1,16,prompt,1787215426.340935,rest,attention,left
1,17,prompt,1787215451.670991,rest,rest,right
1,18,prompt,1787215476.989729,rest,attention,left
1,19,prompt,1787215502.438843,rest,rest,right
