run,trial_idx,phase,wall_ts,a_state,b_state,b_direction
1,0,prompt,1787212936.629229,rest,attention,left
1,1,prompt,1787212961.910398,rest,rest,right
1,2,prompt,1787212987.498426,rest,attention,right
1,3,prompt,1787213012.906737,rest,rest,left
1,4,prompt,1787213038.386618,rest,attention,left
1,5,prompt,1787213063.697599,rest,rest,right
1,6,prompt,1787213088.948541,rest,attention,right
1,7,prompt,1787213114.198035,rest,rest,left
1,8,prompt,1787213139.997664,rest,attention,left
1,9,prompt,1787213165.14769,rest,rest,right
1,10,prompt,1787213190.35899,rest,attention,right
1,11,prompt,1787213215.748848,rest,rest,left
1,12,prompt,1787213242.098246,rest,attention,left
1,13,prompt,1787213267.595092,rest,rest,right
1,14,prompt,1787213292.89763,rest,attention,right
1,15,prompt,1787213318.298099,rest,rest,left
1,16,prompt,1787213344.096893,rest,attention,left
1,17,prompt,1787213369.647653,rest,rest,right
1,18,prompt,1787213395.097414,rest,attention,left
1,19,prompt,1787213420.197857,rest,rest,right
